,Name,rating,Contribution,userLocation,reviewMessage,month,year
755,,5.0,17,"Cherry Valley, Illinois",Boston trip,Jan,2020
756,Five Diamond Traveler,5.0,268,"Pittsburgh, PA","Believe it or not, This will save you money!",May,2019
757,JackTipsord,5.0,1,0,Best Way to Get to Know Boston,Mar,2020
758,Emilie P,5.0,54,"Bronx, NY",good weekend trip,Mar,2020
759,princessfriday1,5.0,35,"Virginia Beach, VA",Should have done first!,Mar,2020
760,Crystal S,5.0,2,0,Great your and well worth the time and money.,Mar,2020
761,maria c,5.0,1,"Lawrenceburg, TN",The driver makes the trip,0,0
762,gcruicks,4.0,172,Wirral,The drivers were great but a bit overpriced,Oct,2019
763,Ramps,3.0,3,0,Too long of a wait in between buses,Mar,2020
764,BellaTravel,5.0,1,0,Mr. Adam is the man,Mar,2020
765,Pauline Schiavo,5.0,8,0,Very informative,Mar,2020
766,Klm,5.0,1,"Lee's Summit, MO",Wonderful!!,Mar,2020
767,lynnr69,5.0,49,"Northallerton, UK",Fun and informative way to see the city,Feb,2020
768,LinaR,5.0,1,0,Pleasant and Wholesome Tour of Boston,Mar,2020
769,ProudMomOfChad,5.0,1,0,The Deaf Should not Fear,Jan,2020
770,Stephanie G,5.0,2,0,"Joe, Joe, Joe!!",Feb,2020
771,Audrey062,5.0,96,"Belfast, UK",Informative and fun! 😀,0,0
772,Marc S,1.0,5,"Ottawa, Canada",Rude and uncaring staff,Feb,2020
773,SeattleTraveler,5.0,12,"Seattle, WA",Better than other hop on hop off tours,0,0
774,tracyrobertson2010,5.0,17,"Glasgow, UK",Brilliant,Feb,2020
775,Samantha TomBoy,5.0,3,0,"Wow, well worth the two day ticket. Rode the circuit more than once.",0,0
776,Mark M,5.0,1,0,Great way to get a historical overview of the City,Feb,2020
777,Sagree,4.0,139,"Durban, South Africa",A Perfect way to see the City with limited time.,Sep,2019
778,Rkuz,5.0,1,0,Boston Ed. I’m a Trolley,Feb,2020
779,HappyItMan,4.0,86,"Reykjavik, Iceland",A good way of viewing Boston,Feb,2020
780,Craig and Alison l,5.0,18,"Durham, UK",Would highly recommend,0,0
781,Philip &amp; Madelin,5.0,2,0,"Batman,Gonzo,Giovanni &amp; Shenanigan",Feb,2020
782,Amy Callahan,5.0,1,0,Must see,Jan,2020
783,Steven B,3.0,1,0,Beat the Weather,Feb,2020
784,Tandy F,2.0,29,"Rockford, IL",Not worth it.,0,0
785,Edward M,5.0,8,"Cape Town, South Africa",A great way to spend a few hours in Boston,0,0
786,dhenssler,5.0,26,"Mohnton, PA",Discovering Boston by Phoenix,Feb,2020
787,Robyn,5.0,1,"Saratoga Springs, NY",Fun way to sightsee,0,0
788,Donna,5.0,1,0,Incredible,Jan,2020
789,Jo W,4.0,46,"Glenroy, Australia",Great value,0,0
790,Ptinsac,5.0,6,0,Great way to see the city,Jan,2020
791,Rina,5.0,1,"Moscow, Russia",Best infos &amp; jokes with Batman,Jan,2020
792,Omega,5.0,18,0,Batman is the BEST,0,0
793,Skein12500,5.0,12,"Carmel Valley, CA",BOSTON TOUR,Aug,2019
794,Carolann B,2.0,1,0,Opinionated Tour Guide,Dec,2019
795,Bibiam Aleyda D,4.0,7,"Panama City, Panama",Great option,Dec,2019
796,Kim W,5.0,48,"Baxter, Australia",Great way to learn American history,Dec,2019
797,traveling_with_kathy,5.0,"1,134","Lake Stevens, WA",Always a great tour of Boston,0,0
798,gcharpentier2016,4.0,3,"Montreal, Canada",everything was fun,Sep,2019
799,Nigel M,5.0,151,"Radstock, UK",By far the best hop on &amp; off bus tour we've ever done - even better than Paris!,Oct,2019
800,JennifeW,5.0,23,"New York City, NY",A nice overview of Boston,Dec,2019
801,Chava143,3.0,96,"St. Michaels, MD",If You're Coming from a Cruise Ship....,Nov,2019
802,mitchell,2.0,1,"Lawton, OK",Just meh.,0,0
803,daffodilSwansea,5.0,33,swansea,Christmas lights and day ticket,0,0
804,giovanna,5.0,28,"Miami Lakes, FL",Great tour!,Dec,2019
805,Pat C,3.0,3,0,Was it worth it?!,Aug,2019
806,Maureen,4.0,19,"North Wales, UK",Hawarden2019,Dec,2019
807,LauriH44,5.0,460,"Sioux Falls, SD",Great way to see Boston,Oct,2019
808,Christine R,2.0,7,0,Not worth the money,Nov,2019
809,Patti C,5.0,60,"Bonita Springs, FL",Traipsing around Boston,Nov,2019
810,Voyage828795,5.0,7,0,GREAT HISTORY LESSON FOR A GOOD PRICE,Nov,2019
811,Vincent D,3.0,"1,219","Dún Laoghaire, Ireland",Too expensive and not informative enough.,Nov,2019
812,pennych,5.0,421,"Worthing, UK",Well worth taking the tour,0,0
813,Tourist777960,5.0,7,0,"""Sweet Caroline""  One day Hop-on Hop-Off with Taylor!",Oct,2019
814,jananew1,5.0,14,0,Great way to explore the city,Nov,2019
815,Gill AEuxton,5.0,16,"Chorley, UK",Informative and fun trip,Sep,2019
816,PaigeCP,4.0,15,"Jacksonville, FL",Good way to get familar with Boston,Nov,2019
817,CHIRT143,5.0,24,MINNESOTA,Good tour of Boston,Oct,2019
818,Mandy C,5.0,24,"Richmond, VA",Thank goodness the trolley was enclosed and heated,Nov,2019
819,lgreene71,5.0,8,"San Jose, CA",Great hop on hop off tour,0,0
820,North-Jersey-2016,5.0,14,"Vernon, NJ",Cruise Stop,Oct,2019
821,Pattie452,5.0,105,"Pass Christian, MS",Great Way to See Boston,Sep,2019
822,Joyce T,5.0,46,"Springfield, VA",Good understandable tour!,Nov,2019
823,Nomad5522,5.0,"2,337","Clacton-on-Sea, UK",Excellent tour,0,0
824,MercyBuckets78,5.0,5,0,Great value,Oct,2019
825,donnaborland,4.0,46,"Houston, TX",Boston Tour,Oct,2019
826,blynch,1.0,10,"Conroe, TX",Trolley tour,0,0
827,mark_globetrotter28,4.0,103,"Dubai, United Arab Emirates",Beautiful Boston,Oct,2019
828,Traumaqueen128,4.0,68,"Callicoon, NY",Way to see the sights,0,0
829,Charlotte,5.0,1,0,Samiam,Oct,2019
830,138fed,5.0,1,"Manila, Philippines",3pm,Oct,2019
831,Snorris,5.0,3,0,Wet day in Boston,Oct,2019
832,Brenda C,3.0,1,"Brooklyn, NY",Tour from Cruise Port,Oct,2019
833,ssbrandes,5.0,256,"Canton, GA",Perfect option for us,Oct,2019
834,derind805,5.0,211,"Basking Ridge, NJ",Great way to see the city,Oct,2019
835,Experience822769,4.0,2,"Belmont, CA",Good overview,Oct,2019
836,friendsfromMD,2.0,3,"Woodsboro, MD",Boston trip,Oct,2019
837,SBEE,1.0,8,0,Don't waste your time.,Sep,2019
838,999paul42,3.0,54,"Birmingham, UK",Not so good,Sep,2019
839,Lindsey T,1.0,2,"Toronto, Canada",Disappointed,Oct,2019
840,Jnub,5.0,2,0,Holiday visit,Oct,2019
841,Don M,5.0,27,"Naperville, IL",Great way to see Boston,Oct,2019
842,BB1Tampa,5.0,162,"Tampa, Florida",the nice weather helped,Aug,2019
843,krak10,1.0,69,"Cambridge, MA",Poorly Orchestrated Tour,Oct,2019
844,Brian A,5.0,3,0,Great tour,Oct,2019
845,SPolen,4.0,26,0,Giovanni was great,Oct,2019
846,cimanom,5.0,39,"Dalworthington Gardens, TX",Very fun!,Oct,2019
847,Dawn H,5.0,20,0,This is better than the rest by Far,Oct,2019
848,Pastor S,5.0,79,0,Great Overview--Handy for Cruise Passengers,Oct,2019
849,Msugirl76,5.0,4,"Oxford, MS",Msugirl,Oct,2019
850,Julie J,4.0,44,"Neath, UK",Well worth it,Oct,2019
851,Jule,5.0,1,0,A great way to see Boston,Oct,2019
852,497joycet,5.0,49,"Hammond, LA",wonderful Boston,Oct,2019
853,Joyce A,1.0,9,"Georgetown, TX",Boston Hop On Hop Off Trolley Tour,Oct,2019
854,Sandra N,4.0,1,0,Good way to see Boston,Oct,2019
855,Tami,1.0,1,0,Never got on the bus,Sep,2019
856,Lori and Matt M,1.0,3,0,Good luck getting a seat!,Oct,2019
857,MaryJ071597,4.0,29,"Spokane, WA",Good Way to See the City,Oct,2019
858,Ward H,4.0,375,"Hot Springs Village, AR",A Great Way To See The City In Comfort,Sep,2019
859,Deborah M,3.0,17,"Adelaide, Australia","Pleasant tour, but it was hard to hear the driver's voice.",Sep,2019
860,Lori H,4.0,3,0,Boston,0,0
861,Tonja M,5.0,11,0,Great way to get around Boston!,Oct,2019
862,AnnmarieK,4.0,258,"San Francisco, CA",Would be 5 stars except for other loud customers,Oct,2019
863,S&amp;SMSO,4.0,6,0,Good but not great,Oct,2019
864,Sarah T,2.0,58,Texas,Driver makes or BREAKS tour,0,0
865,Cindy S,5.0,1,0,What kind of title?,Oct,2019
866,Kirsty M,4.0,286,"Bourne, UK",A great easy way of seeing Boston with a tour guide,Oct,2019
867,Jane S,5.0,34,"Ames, IA",Great way to see Boston!,Oct,2019
868,Jbrower,5.0,11,"Grand Rapids, MI",Lots of interesting info!,Oct,2019
869,Karen G,5.0,3,0,Went along the Freedom Trail.  Great way to see a lot in limited time.,Sep,2019
870,Laura S,5.0,1,0,Fun and hilarious trolley ride!,Oct,2019
871,Tracy G,4.0,2,0,Day trip to Boston,Oct,2019
872,got2see,4.0,14,"Honolulu, Hawaii",Boston Trolley,Sep,2019
873,Elaine A,4.0,5,0,Trolley was Great,Oct,2019
874,cazmac52,5.0,5,"Boston, MA",Day out,0,0
875,Ted H,3.0,1,"Atlanta, GA",Boston Tour,Sep,2019
876,Daniel G,5.0,24,"Murrieta, CA",Boston Hop on Hop off,Oct,2019
877,Camachoce,5.0,4,0,2 Masters,Oct,2019
878,Nadine B,5.0,1,0,Excellent Choice if the weather is good,Oct,2019
879,Kathie F,2.0,3,"Dayton, OH",Hop on Stay On,Jun,2019
880,MikeBoulder,5.0,165,"Dubois, WY",Great experience!,0,0
881,PaGe,5.0,4,0,Great tour guide,Oct,2019
882,Steven t,3.0,4,Lacey,"Overall fine, but ...",Sep,2019
883,Lisa E,4.0,1,0,Fall visit,Oct,2019
884,Kenneth J,1.0,1,"Biloxi, MS",DO NOT TAKE THIS TROLLEY,Oct,2019
885,manx43,5.0,56,Isle of Man,Extremely Busy Day,0,0
886,Cruiser75681,5.0,9,"Parkersburg, WV",Great on and off ride,Oct,2019
887,Chris Newman,5.0,20,"Leicester, UK",Road trip in New England,Sep,2019
888,Korenbeusser,2.0,160,0,Tired staff - ok experience.,0,0
889,Ann,5.0,11,"Babylon, NY",Quick getaway,Oct,2019
890,QuillQueen,4.0,8,"Vancouver, Canada",Old Town Hop On Trolley,Oct,2019
891,BeckyC,3.0,1,0,Great trip... however don’t use in the rain,Oct,2019
892,Humblestrummer,5.0,108,"London, UK",Good value,Oct,2019
893,deborah r,4.0,"1,145","Belmont, NC",Nice Way to See Boston,0,0
894,beachbunnyVirginia,2.0,30,"Chantilly, VA",Having a hard time understanding the 5 star ratings.,Oct,2019
895,Liliana T,4.0,3,0,Nice way to see the City,Oct,2019
896,Dan L,5.0,291,"Granbury, TX",Get ready to be educated and ENTERTAINED!!!!!!!,Oct,2019
897,Jean B,2.0,1,0,Waiting to hop on,Oct,2019
898,Kayjayell,5.0,390,"Wicklow, Ireland",Fun and Informative,0,0
899,Saethryth,5.0,13,"Milton Keynes, UK","Great tour, live friendly commentary",Oct,2019
900,Connie O,5.0,1,0,New England peepers,Oct,2019
901,Brenda C,3.0,45,"Grand Prairie, TX",Windows hard to see out!!,Oct,2019
902,xoft,4.0,839,"Mount Juliet, TN",Fun Day!,0,0
903,TripNav,4.0,64,"Nashville, TN",Easy way to see Boston,Jun,2019
904,Fernando C,2.0,6,"Viña del Mar, Valparaiso, Chile",we didn't have a good experience with this bus,Sep,2019
905,1oscar14,5.0,21,"Orlando, FL",Wonderful Experience,Dec,2018
906,gannonbb,5.0,20,"Richmond, VA",AMAZING STAFF,Oct,2019
907,TheWhiteRabbit57,4.0,201,"West Sussex, UK",A Worthwhile Thing to Do,Oct,2019
908,Patsy Ballard,3.0,1,0,Disappointed,Oct,2019
909,gailh229,4.0,2,"Morehead City, NC",Hop on Hop Off,Oct,2019
910,MBKH,5.0,3,0,Convenient and easy access through Boston,Oct,2019
911,Disappointed,1.0,1,0,Worst experience,Oct,2019
912,Amanda,5.0,32,"County Donegal, Ireland",Very enjoyable,Oct,2019
913,lotsaplaces,5.0,99,Kingston,Our One Day in Boston,Sep,2019
914,DivechickFairOaks_Ca,4.0,42,"Fair Oaks, CA",Best way to get all around Boston!!,Oct,2019
915,TAMARALFOSTER,5.0,58,"Hurricane, UT",Mr. Kelley ROCKED the Trolley!,Oct,2019
916,Sherpa767534,5.0,1,0,Mr,0,0
917,Glen H,5.0,76,"Bingley, UK",Great introduction to the city,0,0
918,LynetteEW,5.0,11,"Knaresborough, UK",Fun and informative,Sep,2019
919,PoppyLiverpool,5.0,76,"Liverpool, UK",Fabulous Tour,0,0
920,GoTraveler,1.0,95,"Washington DC, DC",Cruise Rip Off,0,0
921,Cliff D,5.0,2,"Beavercreek, OH","Informative and fun, but don't be in a hurry",Sep,2019
922,BabyBoomer64traveler,2.0,26,"Chicago, IL",Waiting time not worth trip,Oct,2019
923,pisc0011,3.0,430,"Ironwood, MI",Way longer wait times than expected,0,0
924,Hiru B,1.0,106,"London, UK",Absolute rubbish!,0,0
925,cathy a,5.0,9,0,Fun and easy way to see the city,Sep,2019
926,michellemtravelfan,5.0,26,"Atlanta, GA",Boston Trolley Tour,Sep,2019
927,Vicki S,5.0,12,"Oostburg, WI",Old Town Trolley,Sep,2019
928,mariabarnes,4.0,991,"Northampton, UK",Good way of seeing the city,0,0
929,Angela B,4.0,4,0,Excellent way to learn about Boston,Sep,2019
930,SamaraInfoCenter,5.0,"1,542","Playa Samara, Costa Rica",Excellent tour,Sep,2019
931,Linda,3.0,2,"Dayton, OH",Long wait for bus,Sep,2019
932,Barb H,5.0,135,"St. Augustine, FL",Enjoyable,0,0
933,Megan P,5.0,11,0,Mrs. Beantown was Great!,Sep,2019
934,Cathy F,5.0,34,"Concord, NC",Maureen is a fun guid.  Tour is a good value and very good,Sep,2019
935,Riggers1938,5.0,17,0,Boston Tea Party,Sep,2019
936,Phyllis F,3.0,2,"Greenock, UK",Boston by trolley bus,Sep,2019
937,Christy S,4.0,2,0,Great way to see Boston!,Sep,2019
938,KateRochell25,3.0,97,"Abu Dhabi, United Arab Emirates",A good way to see Boston,0,0
939,dianem3,5.0,42,"Osprey, FL",Great way to get an overview of the city,0,0
940,Footprints575794,4.0,1,0,Enjoyable tour of Boston,Sep,2019
941,Kimberley R,5.0,1,0,Great Way to See Boston,Sep,2019
942,Mominator39,5.0,1,"Bristol, UK",Wonderful way to see things for a nervous traveler.,Sep,2019
943,cwilsononbeach,4.0,50,"Florida Keys, FL",Good way to see the city,Sep,2019
944,Mike C,5.0,44,"Murray, KY",Excellent experience!,Sep,2019
945,hhspitzer1,5.0,4,0,Hop on Hop off Trolly,Sep,2019
946,Crusii,5.0,15,"Monument, CO",Do This First,0,0
947,Jan W,4.0,40,"Almonte, Canada",Great tour,Sep,2019
948,Colleen H,5.0,43,"Eatonville, WA",Best tour,Sep,2019
949,jpmaydak,5.0,401,"Charlotte, NC",Great way to see many points in Boston!,Sep,2019
950,795ianl,5.0,1,"Burnsville, United States",Enjoyable,Sep,2019
951,Roy David J,4.0,383,"Bouvard, Australia",A Very Enjoyable Tour,Sep,2019
952,Linda B,5.0,1,0,Hop on and off,Sep,2019
953,TripDec2015,5.0,29,"Florence, AL",Overview of Boston,Sep,2019
954,robertmF7261TX,5.0,16,"McMinnville, OR",Hop on and off,Sep,2019
955,PilotPhil58,5.0,8,"Copthorne, UK",Great Tour Guide - Very Informative,Sep,2019
956,SeasonedFoodie,4.0,455,Chicago,Great way to see the city,0,0
957,seagirt319,5.0,3,"Bel Air, MD",So easy and convenient !,Sep,2019
958,jessieleah25,5.0,13,0,The best way to see a city,Sep,2019
959,ScotDana,5.0,1,0,Great Tour and easy to use,Aug,2019
960,Jillian F,5.0,1,0,Boston trolley tour,Sep,2019
961,GerryCSydney,5.0,7,Sydney,Boston Trolley Bus Tour,Sep,2019
962,sisiSTRONG,4.0,7,0,definitely worth it,Sep,2019
963,Jac G,5.0,1,"Taylors Lakes, Australia",Great experience!,0,0
964,Michael D,5.0,1,0,???,Sep,2019
965,Sue C,4.0,27,"Auckland, New Zealand",Went to the Tea Party Museum,Sep,2019
966,Julie A,5.0,20,"King, NC",Great Hop-on Hop-off Tour!!! So Worth it!!!,0,0
967,Jody C,5.0,1,"Union, MS",Worth the money,0,0
968,Mel G,5.0,1,0,Fantastic Tour,Sep,2019
969,Joan B,5.0,29,"Naples, FL",Excellent way to find usual &amp; unusual places to visit in Boston,Aug,2019
970,Xiao Dong X,3.0,1,0,Mrs,Sep,2019
971,OakRidgeMarley,5.0,4,Oak Ridge,Boston Hop on Hop off Trolley,Sep,2019
972,Jacqui M,3.0,674,0,Anonymous pick-up points,0,0
973,Adrian M,4.0,31,Exeter,Boston hop on/off,Aug,2019
974,Toby H,4.0,58,"Frankfort, KY",Great overview of Boston,Aug,2019
975,Mahmoud Ali,3.0,1,0,Buses need to run more frequent,Aug,2019
976,Lorrie,5.0,1,"Buffalo, NY","Highy energized, enteraining and informative driver.",Aug,2019
977,HNBISOFF,5.0,"1,002","Bedford, Texas",Good Tour-Great Tour Drive,0,0
978,Carlos C,4.0,1,0,Good but poor pricing alternatives,Aug,2019
979,Classydiner,5.0,194,"Orlando, FL",Really good drivers and some very entertaining ones!,Aug,2019
980,Sylvia S,5.0,9,"Jamestown, NY",Fun tour,0,0
981,Love2trvl2002,1.0,18,"Atlanta, GA",Disappointed,0,0
982,Frank M,5.0,12,"Rochester, New York, United States",Trolly fun,Aug,2019
983,A. E. Mitzel,5.0,10,0,Fantastic Option!,Aug,2019
984,LoveMyTexas,4.0,11,"Santa Fe, TX",Should have done the 2-day pass,Aug,2019
985,Kevin Morris Travels.,5.0,13,"San Antonio, TX",Great Drivers I think,May,2019
986,Amanda W,4.0,3,0,Great way to get your bearings,Aug,2019
987,Ian M,5.0,1,0,Delightful,Aug,2019
988,Susan R,3.0,1,0,City View Trolley,Aug,2019
989,_karine_guy,3.0,12,"Gatineau, Canada",Expensive,Aug,2019
990,Amanda N,5.0,1,0,Do this while in Boston!,Jun,2019
991,Teresa C,5.0,99,"Edwardsville, IL",This is The Way to See Boston,0,0
992,iiisticks,5.0,22,"Northport, NY",Great way to see the sites.,Aug,2019
993,FireTim44,5.0,742,"Wetherby, UK",USA Canada Trip,0,0
994,Antoinette V,1.0,3,0,Rude driver Gonzo!,0,0
995,Heather A,5.0,1,0,Trolley hop on off tour,Aug,2019
996,GJM202,4.0,66,"Wiesloch, Germany",Good way to see the sites and hear the history,Aug,2019
997,Dave J,4.0,92,"Frederick, MD",Nice tour and good way to get around,Aug,2019
998,SKEIN1,5.0,100,"Monterey County, CA",Touring Boston,Aug,2019
999,FortunaFan,1.0,16,0,Just 2 days in Boston and one was wasted on this...sad,Aug,2019
1000,cmarle,3.0,18,"Greenville, SC",Interesting but inconsistent,Aug,2019
1001,Aimee,3.0,4,"Paradise, Canada",Great tour with a few hiccups,Aug,2019
1002,mainwaringtm,5.0,24,"Warrington, UK",Good value and nicer than the subway,0,0
1003,Rush4d,5.0,5,"Ottawa, Canada",Great way to see Boston,Aug,2019
1004,Passport783893,1.0,1,0,Overbooked and poorly executed,Aug,2019
1005,L2634PFdenised,5.0,41,0,A great way to get a feel for the city,Aug,2019
1006,Audry Penn,5.0,12,0,Easy way to get around!,Jul,2019
1007,KK48,4.0,603,"Gillingham, UK",Good but stops need clarity,Jun,2019
1008,bshieldsd,4.0,5,"Pittsburg, CA",Efficient!,Aug,2019
1009,cduggin,5.0,37,"Murfreesboro, TN",A MUST DO!,Aug,2019
1010,Wendy,3.0,1,0,Boston Hop On Bus,Aug,2019
1011,From Texas and England,1.0,1,0,One driver managed to ruin the trip of a lot of passengers!,Jul,2019
1012,Donna R,5.0,47,Toronto,Great Ride!,Aug,2019
1013,SingaporeStembers,3.0,152,"North Houston, TX",Highly variable,Aug,2019
1014,Betty R,4.0,9,"Albany, OR",Great way to get around,0,0
1015,Elizabeth B,5.0,2,0,Made our trip to Boston so awesome,Jul,2019
1016,Nick,5.0,2,0,Great,Jul,2019
1017,Maponte,5.0,7,"Orlando, FL",Really informative and convenient,Jul,2019
1018,Glen510,5.0,20,0,Quick oversight of the history of Boston,Jul,2019
1019,Sunshine788132,4.0,3,0,Beware on Sundays,Jul,2019
1020,TampaTasha,5.0,6,0,Fabulous tour,Jul,2019
1021,Scott Francis,5.0,1,0,Taylor rocked !!,Jul,2019
1022,T Harman,5.0,3,0,T Harman,Jul,2019
1023,Paula L,5.0,6,"Kingston, Canada",A great way to spend the day!,Jul,2019
1024,casallese,4.0,748,"Baltimore, MD",Great introduction to Boston,Jul,2019
1025,KnMyny,3.0,21,"Wincheringen, Germany",Difficult to understand the guide,Jul,2019
1026,Emily B,4.0,4,"Schererville, IN",Short visit,May,2019
1027,PeaceSalaamShalom,4.0,112,"Springfield, MA",Good overview of the city of Boston,Jul,2019
1028,Jhon,5.0,"1,543","Bradenton, FL",Outstanding tour,0,0
1029,Janet D,2.0,51,"Bainbridge, GA",Don't waste your time,Jul,2019
1030,tomcgibbs42,4.0,20,"Shelby Township, MI",Easy and fast,Jul,2019
1031,frank m,5.0,1,0,Great time in Boston,Jul,2019
1032,Janmd4,5.0,55,Maryland,Boston port,Jun,2019
1033,Anna P,5.0,3,0,Hop on hop off,Jul,2019
1034,NewPlaceFan,4.0,374,"Kenosha, WI",Convenient way to see the various sites and get around,Jul,2019
1035,jcheing,5.0,82,"Coconut Creek, FL",It summarized the most important spots on the area,Jul,2019
1036,Sonya,5.0,1,0,Great way to see the city,Jul,2019
1037,Deborah K,3.0,28,"Watertown, WI",Convenient but expect to wait.,Jul,2019
1038,The Standishes,5.0,4,"Palm Desert, CA",John &amp; Marilyn Standish,Jul,2019
1039,Katie S,4.0,45,"Carmel, Indiana, United States",Busy day in Boston,Jul,2019
1040,Cheryl P,5.0,2,0,Boston Tour,Jul,2019
1041,charlotte04050,2.0,33,"Sarasota, FL",None,Jul,2019
1042,juleli,5.0,53,"Croydon, UK",Best thing to do on your first day,May,2019
1043,Charanderle,2.0,2,0,Disappointing,Jul,2019
1044,Danceandbutch2,5.0,61,"Chicago, IL",Nice informative bus tour,Jul,2019
1045,Jay,5.0,9,"Byron, GA",Cheaper than Uber,Jul,2019
1046,Inspire665697,4.0,4,0,Boston Hop On Hop Off,Jul,2019
1047,Taryn S,5.0,1,"Austin, TX",Best Tour of Our Trip,Jul,2019
1048,cattleco,4.0,1,"Myrtle Beach, SC",Great tour guide!,Jul,2019
1049,773noel,4.0,13,"Paris, France",Guides were very well informed and helpful,Jul,2019
1050,Goodtimesrus105,5.0,159,South Carolina,Quick and efficient way to see Boston highlights if pressed for time.,Jul,2019
1051,Martin C,5.0,3,"Lansing, MI",Great Tour and Guide,0,0
1052,Jamie J,2.0,10,"Buffalo, NY",Be careful when you book,Jul,2019
1053,willieb3077_12,4.0,147,"Leland, NC",Boston HOHO tour,Jun,2019
1054,czbecky,5.0,54,"Richmond, VA",Great way to see city!,Jul,2019
1055,Julie M,1.0,1,0,Avoid if a wheelchair user!!!,Jul,2019
1056,Judgepam,5.0,104,"Warren, OH",Fun time had by all,Jul,2019
1057,Elizabeth H,3.0,3,0,Pros and Cons,0,0
1058,Virginia P,5.0,25,"Albuquerque, NM",Quick trip,Jul,2019
1059,John M,5.0,27,"Dublin, OH",Great way to get around Boston,Jun,2019
1060,Robindurham13,5.0,3,0,Robin and Connie,Jun,2019
1061,nursemerry,5.0,11,"Georgetown, IN",Great way to get around!,Jun,2019
1062,Josh H,5.0,1,0,Great Tour!,Jun,2019
1063,Paddy O,4.0,6,"Dallas, TX",Not too shabby,Jun,2019
1064,bheatley,5.0,18,"East Amherst, NY",Worth it for the price!,May,2019
1065,dewfam1998,5.0,13,"Nanaimo, Canada",Great Way to See Boston,0,0
1066,ken o,5.0,2,0,XX,Jun,2019
1067,Ryan and Trish R,5.0,16,"Huntington Beach, CA",Great Summary of the city,Jun,2019
1068,Darlene B,4.0,38,Monroe,A lot of fun!,0,0
1069,Dukiephi,1.0,44,"Staunton, VA",So crowded and so few buses we were not able to get off the bus!,Jun,2019
1070,DannaDee,5.0,95,"Deatsville, AL",Perfect Experience for Fatigued World Travelers!,Jun,2019
1071,Dayvisitor,1.0,4,0,"Fogged plastic windows, extreme traffic condition, bus broke down.",Jun,2019
1072,Hank R,3.0,12,"Mars, PA","Fun and informative tour, but super crowded",0,0
1073,Debi D,5.0,26,"San Diego, California, USA",Really good tour,Jun,2019
1074,brendan h,4.0,82,"County Kildare, Ireland",Very good,0,0
1075,marylouromero,5.0,5,0,Old Town Trolley Tour,Jun,2019
1076,Annika A,2.0,2,0,Not enough drivers,Jun,2019
1077,dena8999,4.0,20,"West Palm Beach, FL",Took City tour,Jun,2019
1078,Christine W,5.0,3,"Belfast, UK",I was actually with my sister but no option for that.....,Apr,2019
1079,Lobos3,5.0,138,"Albuquerque, NM",Great tour with live marratiom,0,0
1080,Carlie,5.0,26,0,Great Way to Get Around!,May,2019
1081,lance208,3.0,33,"Saint Louis, MO",Decent way to see the city,May,2019
1082,Nelson C,4.0,"1,212","Salvador, BA",Hopping throughout the city,0,0
1083,Steve F,3.0,172,"Sooke, Canada",Good enough - but ....,May,2019
1084,Kathleen Hutchison,3.0,1,0,Not enough time,Jun,2019
1085,Debra D,4.0,3,0,No Fenway Park stop or drive by!,May,2019
1086,Devendra,3.0,2,0,Avoid during holidays or long weekends,May,2019
1087,G K,5.0,3,"San Jose, CA",Excellent way to see the city,May,2019
1088,LindseyH505,1.0,90,"Laguna Beach, CA",Not worth the time sitting in traffic or listening to the long winded annoying driver,May,2019
1089,Wander97548,1.0,3,0,Not worth 44 dollars,May,2019
1090,jandI6915VY,4.0,102,"Fort Lauderdale, FL",Great way to see the highlights,May,2019
1091,pokypuppy,4.0,21,"Bournemouth, UK",Useful overview of points of interest,May,2019
1092,Jaschaben,5.0,26,0,Great way to get around,May,2019
1093,Tony K,4.0,707,"Moreno Valley, CA",Nice &amp; easy informative way to see city,0,0
1094,valorrmac,4.0,149,"Cincinnati, OH",Informative with attraction discounts,May,2019
1095,noel2me,4.0,5,"Sanibel Island, FL",overall good,May,2019
1096,imaterp,5.0,43,"Frederick, MD",Good way to see the city,May,2019
1097,MeryMeCo,5.0,861,"Galesburg, IL",We enjoyed our trip,Apr,2019
1098,sandywalvisch,5.0,105,"Melbourne, Australia","Regular, reliable trolley with good commentary",May,2019
1099,Love2TravelUSA610,3.0,5,"Thorndale, PA",Nice overview of the city,May,2019
1100,158valerie,5.0,6,0,Great tour,May,2019
1101,Michelle H,5.0,65,"Chicago, IL",Best way to see Boston,Apr,2019
1102,Ian C,4.0,446,"Egremont, UK",Best way to see the City,0,0
1103,Jana E,3.0,107,"Hamilton, Canada",Don't Use in the Cold,Mar,2019
1104,Chelsey41889,5.0,86,"Voluntown, CT",Great way to see the city!,Apr,2019
1105,imtravelbee,3.0,22,"London, UK",It all in the driver/tour guide!,Apr,2019
1106,Linda K,5.0,25,"Westlake Village, CA",Great overview of Boston,Apr,2019
1107,Marcia B,5.0,126,"Ocean Springs, Mississippi, United States",Easy Safe Way To Get Around the City Alone,Apr,2019
1108,Almo1359,1.0,7,0,Unbelievably bad service. Don’t!,0,0
1109,eric_watts4,4.0,32,bRENTWOOD,Bus tour on a cold day,Dec,2018
1110,David N,5.0,502,"Darlington, UK",Boston Hop-on Hop-off Trolley Tour - A Great Way to see Boston!,Aug,2018
1111,Jeremy G,5.0,4,0,An Imperative for Touring Boston.,Dec,2018
1112,jenen91011,5.0,6,"Brookhaven, NY",Convenient way of touring this busy city,Jun,2018
